,Name,Address,입점수,광역시도,시도
318,빽다방,전라북도 익산시,2,전라북도,익산시
319,빽다방,경상북도 경산시,3,경상북도,경산시
320,빽다방,제주특별자치도 제주시,5,제주특별자치도,제주시
321,빽다방,충청남도 공주시,1,충청남도,공주시
322,빽다방,전라북도 전주시 완산구,5,전라북도,완산구
323,빽다방,제주특별자치도 서귀포시,6,제주특별자치도,서귀포시
324,빽다방,경상북도 구미시,3,경상북도,구미시
325,빽다방,충청남도 천안시 동남구,3,충청남도,동남구
326,빽다방,경상남도 창원시 마산회원구,1,경상남도,마산회원구
327,빽다방,충청남도 천안시 서북구,5,충청남도,서북구
328,빽다방,경상남도 진주시,4,경상남도,진주시
329,빽다방,전라남도 순천시,2,전라남도,순천시
330,빽다방,경상남도 김해시,3,경상남도,김해시
331,빽다방,경상북도 안동시,2,경상북도,안동시
332,빽다방,충청남도 아산시,4,충청남도,아산시
333,빽다방,제주특별자치도 제주시,5,제주특별자치도,제주시
334,빽다방,전라남도 여수시,3,전라남도,여수시
335,빽다방,경상남도 창원시 마산합포구,1,경상남도,마산합포구
336,빽다방,경상북도 경산시,3,경상북도,경산시
337,빽다방,전라남도 여수시,3,전라남도,여수시
338,빽다방,경상남도 양산시,1,경상남도,양산시
339,빽다방,경상남도 통영시,3,경상남도,통영시
340,빽다방,충청남도 당진시,3,충청남도,당진시
341,빽다방,제주특별자치도 제주시,5,제주특별자치도,제주시
342,빽다방,충청남도 천안시 서북구,5,충청남도,서북구
343,빽다방,전라남도 목포시,3,전라남도,목포시
344,빽다방,전라북도 전주시 완산구,5,전라북도,완산구
345,빽다방,경상북도 경주시,2,경상북도,경주시
346,빽다방,경상남도 김해시,3,경상남도,김해시
347,빽다방,경상북도 구미시,3,경상북도,구미시
348,빽다방,충청남도 천안시 서북구,5,충청남도,서북구
349,빽다방,경상남도 거제시,2,경상남도,거제시
350,빽다방,경상북도 경주시,2,경상북도,경주시
351,빽다방,충청남도 천안시 서북구,5,충청남도,서북구
352,빽다방,전라북도 전주시 완산구,5,전라북도,완산구
353,빽다방,충청남도 홍성군,2,충청남도,홍성군
354,빽다방,경상북도 울진군,1,경상북도,울진군
355,빽다방,경상남도 창원시 의창구,2,경상남도,의창구
356,빽다방,경상북도 구미시,3,경상북도,구미시
357,빽다방,전라남도 여수시,3,전라남도,여수시
358,빽다방,경상남도 고성군,2,경상남도,고성군
359,빽다방,경상남도 김해시,3,경상남도,김해시
360,빽다방,전라남도 목포시,3,전라남도,목포시
